asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B09VGZ4DTN,"Bug Zapper Light Bulb Replacement for 15W Bug Zapper with 4-Pin Base, Ful 15W-BL U Shaped Twin Tube Bulb for T6 Insect Attracting Lamp, 2 Pack",https://m.media-amazon.com/images/I/51o4hD3gasL._AC_UL320_.jpg,https://www.amazon.com/dp/B09VGZ4DTN,4.3,0,14.99,0.0,130,False,900
B09LM56LJ3,"[2 Pack] Laundry Detergent Cup Holder, Detergent Drip Catcher (Upgraded Drip Tray), No More Mess or Leaks, Grip Style",https://m.media-amazon.com/images/I/810oHD4LZBL._AC_UL320_.jpg,https://www.amazon.com/dp/B09LM56LJ3,4.6,0,13.99,17.99,130,False,1000
B004R1BM0U,"Energizer CR2 Lithium Battery, Pack of 2",https://m.media-amazon.com/images/I/71C7vIKafBL._AC_UL320_.jpg,https://www.amazon.com/dp/B004R1BM0U,4.7,0,9.99,13.98,130,False,3000
B0C53LZN7M,"24 Pack Cowboy Boot Shot Glass Light Up Plastic Shot Glasses 1.5 oz Flashing Shot Cups with Detachable Soles, Party Decorations Bachelorette Party Favors Cowgirl Decorations for Birthday Wedding etc",https://m.media-amazon.com/images/I/81NGyresAML._AC_UL320_.jpg,https://www.amazon.com/dp/B0C53LZN7M,4.8,0,19.99,0.0,130,False,500
B086Q74D9Z,"Carbona Oxy-Powered Pet Stain & Odor Remover w/ Active Foam Technology | 22 Fl Oz, 2 Pack",https://m.media-amazon.com/images/I/81lu-HmskgL._AC_UL320_.jpg,https://www.amazon.com/dp/B086Q74D9Z,4.7,0,21.24,21.99,130,False,3000
B000YHO5MI,"Duracell Alkaline Powerboost AA4 Battery, 4 Count",https://m.media-amazon.com/images/I/71YLO4MFypL._AC_UL320_.jpg,https://www.amazon.com/dp/B000YHO5MI,4.8,0,4.97,8.79,130,False,2000
B077KQB7SJ,"KSPOWWIN Biscuit Cookie Cutters Set,Stainless Steel Circle Round Cookie Biscuit Cutters in Graduated Sizes Shape Molds for Pastries Doughs Doughnuts, 5 Pieces",https://m.media-amazon.com/images/I/71TJu+tVz1L._AC_UL320_.jpg,https://www.amazon.com/dp/B077KQB7SJ,4.7,0,5.99,0.0,170,False,1000
B07RPXTKMK,"Waterproof Refrigerator Fridge Thermometer, Digital Freezer Room Thermometer, Max/Min Record Function Large LCD Screen and Magnetic Back for Kitchen, Home, Restaurants (2 Pack)",https://m.media-amazon.com/images/I/51uOhxAL7NL._AC_UL320_.jpg,https://www.amazon.com/dp/B07RPXTKMK,4.5,0,8.99,0.0,170,False,1000
B00A7V9AVC,"FastRack Glass Water Bottle Includes 38 mm Polyseal Cap, 1 gallon Capacity, Clear",https://m.media-amazon.com/images/I/51avYTQ53UL._AC_UL320_.jpg,https://www.amazon.com/dp/B00A7V9AVC,4.7,0,18.52,0.0,170,False,1000
B09W4GL91J,"GE 3-in-1 Countertop Microwave Oven | Complete With Air Fryer, Broiler & Convection Mode | 1.0 Cubic Feet Capacity, 1,050 Watts | Kitchen Essentials for the Countertop or Dorm Room | Stainless Steel",https://m.media-amazon.com/images/I/71aywVLd8PL._AC_UL320_.jpg,https://www.amazon.com/dp/B09W4GL91J,4.5,0,189.99,219.0,170,False,3000
B07GSSR5V2,Souper Cubes 1 Cup Silicone Freezer Tray With Lid - Easy Meal Prep Container and Kitchen Storage Solution - Silicone Molds for Soup and Food Storage - Aqua - 2-Pack,https://m.media-amazon.com/images/I/717pxFuArxL._AC_UL320_.jpg,https://www.amazon.com/dp/B07GSSR5V2,4.8,0,34.99,36.99,170,False,3000
B07TKMY2NW,"KitchenAid Gourmet Stainless Steel Wire Masher, 10.24-Inch, Black",https://m.media-amazon.com/images/I/71g9fUdPohL._AC_UL320_.jpg,https://www.amazon.com/dp/B07TKMY2NW,4.8,0,13.99,17.99,170,False,4000
